"Brain_logFC"	"Brain_pval"	"Brain_adj_pval"	"entrez"	"Muscle_logFC"	"Muscle_pval"	"Muscle_adj_pval"	"Liver_logFC"	"Liver_pval"	"Liver_adj_pval"	"All_logFC"	"All_pval"	"All_adj_pval"	"Human_logFC"	"Human_pval"	"Human_adj_pval"	"Rat_logFC"	"Rat_pval"	"Rat_adj_pval"	"Mouse_logFC"	"Mouse_pval"	"Mouse_adj_pval"	"presence_tissues"	"presence_species"	"presence_compound"	"presence_total"	"geommean_pval_tissues"	"geommean_pval_species"
"1"	-0.183048501312303	0.0164364649925788	0.123870470158165	"225642"	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.608050593678752	0.602236064454419	0.84793164012476	NA	NA	NA	NA	NA	NA	1	1	0	2	NA	NA
"2"	-0.0551132232205994	0.23424249936664	0.530298505625732	"77630"	-0.0101608805975635	0.564265867020317	0.863278425102958	NA	NA	NA	NA	NA	NA	-0.0539886112250037	0.866038637665995	0.952524691903585	NA	NA	NA	NA	NA	NA	2	1	0	3	NA	NA
"3"	-0.0615905078704789	0.236129491288443	0.532277610704569	"338370"	-0.0639766611194676	0.561398680253619	0.862672977161938	NA	NA	NA	0.342542960951064	0.107013950203	0.688912381210686	-0.927307449787294	0.0914821237938913	0.393559246180606	0.753065979604963	0.331293237562527	0.716202288809346	0.654193011244655	0.155045716466263	0.495171131200949	2	3	1	6	NA	0.518720860853653
"4"	-0.157141636146101	0.298298603313662	0.593363977519396	"140703"	-0.069389504936309	0.218877648700792	0.705993372307969	-0.703653908855153	0.0681330269072027	0.273498105351908	-0.105202623122425	0.488036728258231	0.83938989943003	0.519005985582317	0.268948341176771	0.658595216368201	-0.785261395209045	0.118044211583546	0.485078641507126	-0.330907445297819	0.109062370360105	0.429347709815787	3	3	1	7	0.485689492308244	0.515719189841588
"5"	-0.0437401157203728	0.127781739045723	0.392303713918562	"208439"	0.122127209868781	1.40292216995928e-08	1.42606439036972e-06	-0.138756474101817	0.0262671442600393	0.151098620314893	NA	NA	NA	-0.0407714729638566	0.835027319944763	0.93999548799277	0.114517077619612	0.524378236161915	0.828920313403252	0.387899777847336	0.293681150314917	0.630325111740129	3	3	0	6	0.00438874840473365	0.788983135600113
"6"	-0.0886077486881369	0.0495356744662202	0.236251132368798	"93761"	0.0550450698793002	0.365063532460672	0.80183502895796	NA	NA	NA	-0.0464341969041827	0.758266347641184	0.934756576157068	0.435554694897021	0.499388680314135	0.800304998023627	NA	NA	NA	-0.283847631945528	0.332456396987971	0.658812126096422	2	2	1	5	NA	NA
"7"	-0.0207587092771141	0.038660444369143	0.20585611018021	"329178"	NA	NA	NA	NA	NA	NA	-0.108836640443934	0.530272498993566	0.855587577585442	-0.349947538681969	0.00808112257110724	0.0917975452395612	NA	NA	NA	-0.244507997024202	0.52899368889172	0.795463885496106	1	2	1	4	NA	NA
"8"	-0.158255424018703	0.011588485610237	0.101466667258937	"381813"	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.51050553497572	0.0551813808101534	0.296866356663972	NA	NA	NA	NA	NA	NA	1	1	0	2	NA	NA
"9"	0.0103387163510868	0.03296425540272	0.187691535184721	"63873"	0.535430316096538	0.250449287653849	0.732038814148581	NA	NA	NA	0.316844896024484	0.0246733762589805	0.601315289545864	0.580037025711976	0.342230100617932	0.722216659604594	0.325053159233304	0.371039946025487	0.742222000516981	0.570469313218852	0.0493310449627186	0.312412513804195	2	3	1	6	NA	0.551200896982867
"10"	-0.410669633205737	3.60144690134319e-14	3.01553650858092e-11	"27528"	-0.248637412939701	0.00723570766178831	0.111469263240477	-2.86596802160411	6.06586028334115e-07	3.00309804191644e-05	-0.543393214814972	6.13307349749925e-05	0.0504182449162277	-2.21882458486639	0.142810325474393	0.494381892012666	-1.99530827099101	8.21486256037451e-06	0.000718770831064246	-0.852014091976756	0.00588731994237724	0.126487821864951	3	3	1	7	4.65617981800624e-06	0.0355549908508589
